name,navicode,latitude,longitude,type,username,expire
스타벅스 역삼아레나빌딩,3232*1,37.501087,127.043069,1,admin,20260806
스타벅스 논현역사거리,3232*2,37.510178,127.022223,1,admin,20260806
스타벅스 신사역성일빌딩,3232*3,37.513931,127.020606,1,admin,20260806
스타벅스 국기원사거리,3232*4,37.499517,127.031495,1,admin,20260806
스타벅스 대치재경빌딩,3232*5,37.494668,127.062583,1,admin,20260806
스타벅스 봉은사역,3232*6,37.515000,127.063196,1,admin,20260806
스타벅스 압구정윤성빌딩,3232*7,37.522793,127.028601,1,admin,20260806
스타벅스 코엑스별마당,3232*8,37.510150,127.060275,1,admin,20260806
스타벅스 삼성역섬유센터R,3232*9,37.507750,127.060651,1,admin,20260806
스타벅스 압구정R,3232*10,37.527367,127.033061,1,admin,20260806
스타벅스 수서역R,3232*11,37.488008,127.102650,1,admin,20260806
스타벅스 양재강남빌딩R,3232*12,37.485192,127.036685,1,admin,20260806
스타벅스 선릉동신빌딩R,3232*13,37.505321,127.050409,1,admin,20260806
스타벅스 봉은사로선정릉,3232*14,37.511317,127.048463,1,admin,20260806
스타벅스 강남오거리,3232*15,37.502117,127.026672,1,admin,20260806
스타벅스 스타필드코엑스몰R,3232*16,37.509990,127.061455,1,admin,20260806
스타벅스 강남구청정문,3232*17,37.518181,127.045995,1,admin,20260806
스타벅스 도곡공원,3232*18,37.492805,127.041309,1,admin,20260806
스타벅스 강남R,3232*19,37.497711,127.028439,1,admin,20260806
스타벅스 대치은마사거리,3232*20,37.498973,127.060172,1,admin,20260806
스타벅스 청담영동대로,3232*21,37.522156,127.056449,1,admin,20260806
스타벅스 압구정,3232*22,37.526283,127.029560,1,admin,20260806
스타벅스 신사가로수,3232*23,37.521933,127.022521,1,admin,20260806
스타벅스 청담스타R,3232*24,37.525216,127.041827,1,admin,20260806
스타벅스 강남우성,3232*25,37.492396,127.030910,1,admin,20260806
스타벅스 학동사거리,3232*26,37.522365,127.037954,1,admin,20260806
스타벅스 대치사거리,3232*27,37.503331,127.058817,1,admin,20260806
스타벅스 포스코사거리,3232*28,37.507531,127.057427,1,admin,20260806
스타벅스 을지병원사거리,3232*29,37.519163,127.028645,1,admin,20260806
스타벅스 신사역,3232*30,37.516202,127.020743,1,admin,20260806
스타벅스 도곡역,3232*31,37.492167,127.057398,1,admin,20260806
스타벅스 서울세관사거리,3232*32,37.514887,127.035653,1,admin,20260806
스타벅스 청담사거리,3232*33,37.523635,127.046865,1,admin,20260806
스타벅스 한티역,3232*34,37.496801,127.055055,1,admin,20260806
스타벅스 역삼초교사거리,3232*35,37.494106,127.032997,1,admin,20260806
스타벅스 코엑스몰,3232*36,37.513715,127.059245,1,admin,20260806
스타벅스 가로수길,3232*37,37.523159,127.021625,1,admin,20260806
스타벅스 역삼대로,3232*38,37.501623,127.039375,1,admin,20260806
스타벅스 역삼포스코,3232*39,37.499721,127.033582,1,admin,20260806
스타벅스 강남대로,3232*40,37.503140,127.025546,1,admin,20260806
스타벅스 청담,3232*41,37.524363,127.051560,1,admin,20260806
스타벅스 삼성도심공항,3232*42,37.509786,127.057913,1,admin,20260806
스타벅스 삼성교,3232*43,37.507794,127.065170,1,admin,20260806
스타벅스 학동역,3232*44,37.514649,127.030730,1,admin,20260806
스타벅스 대치,3232*45,37.499662,127.062217,1,admin,20260806
스타벅스 신세계푸드마켓도곡,3232*46,37.490298,127.054895,1,admin,20260806
스타벅스 삼성,3232*47,37.506896,127.055719,1,admin,20260806
스타벅스 선릉세화빌딩,3232*48,37.503776,127.051196,1,admin,20260806
스타벅스 압구정역,3232*49,37.526741,127.028111,1,admin,20260806
스타벅스 압구정로,3232*50,37.526800,127.034717,1,admin,20260806
스타벅스 구역삼사거리,3232*51,37.495924,127.038865,1,admin,20260806
스타벅스 큰길타워,3232*52,37.502367,127.040700,1,admin,20260806
스타벅스 강남구청역,3232*53,37.516585,127.041243,1,admin,20260806
스타벅스 대치역,3232*54,37.493554,127.061874,1,admin,20260806
스타벅스 포이,3232*55,37.477811,127.045141,1,admin,20260806
스타벅스 아크플레이스,3232*56,37.499720,127.034908,1,admin,20260806
스타벅스 학여울역,3232*57,37.498036,127.068494,1,admin,20260806
스타벅스 선정릉역,3232*58,37.510755,127.044560,1,admin,20260806
스타벅스 삼성현대힐,3232*59,37.513504,127.052738,1,admin,20260806
스타벅스 GS타워,3232*60,37.501859,127.037278,1,admin,20260806
스타벅스 압구정미소,3232*61,37.523913,127.028072,1,admin,20260806
스타벅스 선릉역,3232*62,37.503939,127.048514,1,admin,20260806
스타벅스 코엑스사거리,3232*63,37.515351,127.060109,1,admin,20260806
스타벅스 역삼럭키,3232*64,37.492209,127.039389,1,admin,20260806
스타벅스 신압구정,3232*65,37.528115,127.036441,1,admin,20260806
스타벅스 아크로힐스논현,3232*66,37.509013,127.040352,1,admin,20260806
스타벅스 강남비젼타워,3232*67,37.496456,127.029689,1,admin,20260806
스타벅스 압구정로데오역,3232*68,37.526549,127.040437,1,admin,20260806
스타벅스 르네상스사거리,3232*69,37.502721,127.044308,1,admin,20260806
스타벅스 포스코,3232*70,37.505765,127.058045,1,admin,20260806
스타벅스 선릉로,3232*71,37.504981,127.046808,1,admin,20260806
스타벅스 논현힐탑,3232*72,37.511593,127.032193,1,admin,20260806
스타벅스 도산가로수길,3232*73,37.517362,127.023296,1,admin,20260806
스타벅스 매봉역,3232*74,37.485910,127.045288,1,admin,20260806
스타벅스 대치한티,3232*75,37.498482,127.052066,1,admin,20260806
스타벅스 개포동,3232*76,37.482855,127.060715,1,admin,20260806
스타벅스 수서역사거리,3232*77,37.487327,127.103140,1,admin,20260806
스타벅스 코엑스아셈타워,3232*78,37.513019,127.059838,1,admin,20260806
스타벅스 센터필드R,3232*79,37.503695,127.041721,1,admin,20260806
