name,navicode,latitude,longitude,type
스타벅스 역삼아레나빌딩,3232A1,37.501087,127.043069,1
스타벅스 논현역사거리,3232A2,37.510178,127.022223,1
스타벅스 신사역성일빌딩,3232A3,37.513931,127.020606,1
스타벅스 국기원사거리,3232A4,37.499517,127.031495,1
스타벅스 대치재경빌딩,3232A5,37.494668,127.062583,1
스타벅스 봉은사역,3232A6,37.515000,127.063196,1
스타벅스 압구정윤성빌딩,3232A7,37.522793,127.028601,1
스타벅스 코엑스별마당,3232A8,37.510150,127.060275,1
스타벅스 삼성역섬유센터R,3232A9,37.507750,127.060651,1
스타벅스 압구정R,3232A10,37.527367,127.033061,1
스타벅스 수서역R,3232A11,37.488008,127.102650,1
스타벅스 양재강남빌딩R,3232A12,37.485192,127.036685,1
스타벅스 선릉동신빌딩R,3232A13,37.505321,127.050409,1
스타벅스 봉은사로선정릉,3232A14,37.511317,127.048463,1
스타벅스 강남오거리,3232A15,37.502117,127.026672,1
스타벅스 스타필드코엑스몰R,3232A16,37.509990,127.061455,1
스타벅스 강남구청정문,3232A17,37.518181,127.045995,1
스타벅스 도곡공원,3232A18,37.492805,127.041309,1
스타벅스 강남R,3232A19,37.497711,127.028439,1
스타벅스 대치은마사거리,3232A20,37.498973,127.060172,1
스타벅스 청담영동대로,3232A21,37.522156,127.056449,1
스타벅스 압구정,3232A22,37.526283,127.029560,1
스타벅스 신사가로수,3232A23,37.521933,127.022521,1
스타벅스 청담스타R,3232A24,37.525216,127.041827,1
스타벅스 강남우성,3232A25,37.492396,127.030910,1
스타벅스 학동사거리,3232A26,37.522365,127.037954,1
스타벅스 대치사거리,3232A27,37.503331,127.058817,1
스타벅스 포스코사거리,3232A28,37.507531,127.057427,1
스타벅스 을지병원사거리,3232A29,37.519163,127.028645,1
스타벅스 신사역,3232A30,37.516202,127.020743,1
스타벅스 도곡역,3232A31,37.492167,127.057398,1
스타벅스 서울세관사거리,3232A32,37.514887,127.035653,1
스타벅스 청담사거리,3232A33,37.523635,127.046865,1
스타벅스 한티역,3232A34,37.496801,127.055055,1
스타벅스 역삼초교사거리,3232A35,37.494106,127.032997,1
스타벅스 코엑스몰,3232A36,37.513715,127.059245,1
스타벅스 가로수길,3232A37,37.523159,127.021625,1
스타벅스 역삼대로,3232A38,37.501623,127.039375,1
스타벅스 역삼포스코,3232A39,37.499721,127.033582,1
스타벅스 강남대로,3232A40,37.503140,127.025546,1
스타벅스 청담,3232A41,37.524363,127.051560,1
스타벅스 삼성도심공항,3232A42,37.509786,127.057913,1
스타벅스 삼성교,3232A43,37.507794,127.065170,1
스타벅스 학동역,3232A44,37.514649,127.030730,1
스타벅스 대치,3232A45,37.499662,127.062217,1
스타벅스 신세계푸드마켓도곡,3232A46,37.490298,127.054895,1
스타벅스 삼성,3232A47,37.506896,127.055719,1
스타벅스 선릉세화빌딩,3232A48,37.503776,127.051196,1
스타벅스 압구정역,3232A49,37.526741,127.028111,1
스타벅스 압구정로,3232A50,37.526800,127.034717,1
스타벅스 구역삼사거리,3232A51,37.495924,127.038865,1
스타벅스 큰길타워,3232A52,37.502367,127.040700,1
스타벅스 강남구청역,3232A53,37.516585,127.041243,1
스타벅스 대치역,3232A54,37.493554,127.061874,1
스타벅스 포이,3232A55,37.477811,127.045141,1
스타벅스 아크플레이스,3232A56,37.499720,127.034908,1
스타벅스 학여울역,3232A57,37.498036,127.068494,1
스타벅스 선정릉역,3232A58,37.510755,127.044560,1
스타벅스 삼성현대힐,3232A59,37.513504,127.052738,1
스타벅스 GS타워,3232A60,37.501859,127.037278,1
스타벅스 압구정미소,3232A61,37.523913,127.028072,1
스타벅스 선릉역,3232A62,37.503939,127.048514,1
스타벅스 코엑스사거리,3232A63,37.515351,127.060109,1
스타벅스 역삼럭키,3232A64,37.492209,127.039389,1
스타벅스 신압구정,3232A65,37.528115,127.036441,1
스타벅스 아크로힐스논현,3232A66,37.509013,127.040352,1
스타벅스 강남비젼타워,3232A67,37.496456,127.029689,1
스타벅스 압구정로데오역,3232A68,37.526549,127.040437,1
스타벅스 르네상스사거리,3232A69,37.502721,127.044308,1
스타벅스 포스코,3232A70,37.505765,127.058045,1
스타벅스 선릉로,3232A71,37.504981,127.046808,1
스타벅스 논현힐탑,3232A72,37.511593,127.032193,1
스타벅스 도산가로수길,3232A73,37.517362,127.023296,1
스타벅스 매봉역,3232A74,37.485910,127.045288,1
스타벅스 대치한티,3232A75,37.498482,127.052066,1
스타벅스 개포동,3232A76,37.482855,127.060715,1
스타벅스 수서역사거리,3232A77,37.487327,127.103140,1
스타벅스 코엑스아셈타워,3232A78,37.513019,127.059838,1
스타벅스 센터필드R,3232A79,37.503695,127.041721,1
스타벅스 도산사거리,3232A80,37.519660,127.034100,1
스타벅스 강남세곡,3232A81,37.467274,127.099930,1
스타벅스 대치삼성,3232A82,37.500313,127.066961,1
스타벅스 언주역,3232A83,37.507776,127.036588,1
스타벅스 강남역신분당역사,3232A84,37.497057,127.028181,1
스타벅스 삼성역,3232A85,37.509207,127.065609,1
스타벅스 테헤란로아남타워,3232A86,37.503830,127.044870,1
스타벅스 강남논현,3232A87,37.507898,127.023339,1
스타벅스 삼성동,3232A88,37.510843,127.063633,1
스타벅스 청담역,3232A89,37.519441,127.049553,1
스타벅스 압구정현대아파트,3232A90,37.525220,127.025660,1
스타벅스 강남청담빌딩,3232A91,37.517887,127.041375,1
스타벅스 역삼이마트,3232A92,37.499367,127.048425,1
스타벅스 강남세곡DT,3232A93,37.466994,127.118331,1
스타벅스 미아뉴타운,3232A94,37.618319,127.021072,1
스타벅스 강북구청사거리,3232A95,37.639988,127.027433,1
스타벅스 미아사거리역,3232A96,37.611809,127.030697,1
스타벅스 수유역,3232A97,37.638017,127.026135,1
스타벅스 미아역,3232A98,37.626148,127.026578,1
스타벅스 수유역5번출구,3232A99,37.636723,127.023322,1
스타벅스 파라스파라서울,3232A100,37.664196,127.010407,1
스타벅스 발산역사거리,3232A101,37.558509,126.835096,1
스타벅스 마곡역,3232A102,37.559611,126.826298,1
스타벅스 우장산역,3232A103,37.549510,126.836062,1
스타벅스 마곡사이언스타워R,3232A104,37.560526,126.833887,1
스타벅스 방화DT,3232A105,37.574457,126.816488,1
스타벅스 마곡나루역,3232A106,37.568130,126.826140,1
스타벅스 마곡GMG,3232A107,37.560487,126.829667,1
스타벅스 가양역,3232A108,37.561640,126.853327,1
스타벅스 화곡DT,3232A109,37.535011,126.863188,1
스타벅스 양천향교역,3232A110,37.566964,126.840731,1
스타벅스 화곡동,3232A111,37.540619,126.837388,1
스타벅스 등촌,3232A112,37.558204,126.844339,1
스타벅스 염창역,3232A113,37.547359,126.874436,1
스타벅스 발산역,3232A114,37.560301,126.839134,1
스타벅스 까치산역,3232A115,37.532324,126.846123,1
스타벅스 염창대로,3232A116,37.548548,126.878259,1
스타벅스 발산역5번출구,3232A117,37.557922,126.840540,1
스타벅스 화곡역8번출구,3232A118,37.542279,126.839300,1
스타벅스 강서우장산,3232A119,37.546611,126.836113,1
